"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.434167500E-1	-1.306378722E0	-7.619609833E-1	9.514077902E-1	1.786725130E0
1.617608650E-1	-6.131587029E-1	-1.268980980E0	1.793123126E0	2.280694383E0
1.801049790E-1	9.866963625E-1	-2.460242271E0	6.418560743E-1	2.727332207E0
1.984490940E-1	2.302755833E0	-4.341737747E0	-1.636101961E0	5.179787710E0
2.167932080E-1	2.182507515E0	-5.468164444E0	-3.073612452E0	6.641630443E0
2.351373230E-1	1.005369186E0	-4.993638039E0	-1.692980409E0	5.367808745E0
2.534814370E-1	-1.809365034E0	-4.895079613E0	-1.075786233E0	5.328500939E0
2.718255520E-1	-4.735571861E0	-5.517501831E-1	2.542962074E0	5.403399414E0
2.901569060E-1	-7.969176292E0	1.262802124E0	1.420796752E0	8.192746999E0
3.085137810E-1	-1.027895164E1	-7.588176727E-1	-2.462671995E0	1.059704697E1
3.268579480E-1	-9.305948257E0	-1.777170181E0	-2.639278889E0	9.834876709E0
3.451892500E-1	-4.687088490E0	-3.150976181E0	-8.096433878E-1	5.705521170E0
3.635461770E-1	-2.491408825E0	-4.507899284E0	3.508245945E-2	5.150680020E0
3.818902920E-1	-1.055582166E0	-4.048287392E0	1.874553204E0	4.584412092E0
4.002215940E-1	-6.785353422E-1	-3.017310143E0	2.064554930E0	3.718461747E0
4.185785210E-1	1.624834538E0	-5.017970085E0	3.338819027E0	6.242421289E0
4.369226350E-1	5.660513878E0	-1.116976547E1	8.480529785E0	1.512363923E1
4.552539370E-1	7.176651955E0	-1.631432915E1	5.565383434E0	1.867177446E1
4.736108650E-1	4.979218483E0	-1.337085915E1	4.351385593E0	1.491667012E1
4.919549270E-1	3.220265865E0	-8.020445824E0	4.010787010E0	9.528067794E0
5.102862810E-1	2.062009335E0	-3.729955673E0	3.604311943E0	5.581712676E0
5.286431560E-1	1.345298529E0	1.080679893E-1	5.315704823E0	5.484361821E0
5.469872710E-1	2.323400021E0	3.060575962E0	6.482692242E0	7.535954590E0
