"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.101708335e-3	1.101504332e-1	-1.521194082e-1	-4.756230462e-1	5.113616277e-1
1.608270832e-2	1.941293138e-1	-3.608024418e-2	-3.583735085e-1	4.091693367e-1
2.606270832e-2	1.328490320e-1	3.876908630e-2	-3.077775514e-1	3.374595213e-1
3.604370833e-2	5.709806085e-4	-6.949123442e-3	-4.593788964e-1	4.594318086e-1
4.602362501e-2	-7.228327990e-2	-8.962816805e-2	-5.970931041e-1	6.080939533e-1
5.600462499e-2	6.878547549e-2	-2.505181074e-2	-5.559298754e-1	5.607290444e-1
6.598462499e-2	2.263430867e-1	9.653636098e-2	-6.073801106e-1	6.553327862e-1
7.596562500e-2	2.705161697e-1	1.727434149e-1	-5.223352826e-1	6.130688647e-1
8.594662498e-2	3.775298640e-1	2.028153527e-1	-3.458417559e-1	5.506989973e-1
9.592762499e-2	3.009485883e-1	1.467121956e-1	-2.076176709e-1	3.939538277e-1
1.059076250e-1	2.450901371e-1	1.126910484e-1	-1.331323296e-1	3.008199875e-1
1.158886250e-1	3.112262392e-1	1.233388281e-1	6.117883265e-2	3.403190974e-1
1.258696250e-1	3.237498057e-1	1.445346925e-1	3.018478900e-1	4.656354397e-1
1.358496250e-1	2.752620623e-1	1.840004745e-1	5.159138703e-1	6.130191670e-1
1.458306250e-1	2.095563152e-1	2.190913698e-1	7.048958802e-1	7.673285343e-1
1.558116250e-1	2.104681885e-1	2.439660099e-1	8.280733252e-1	8.885503386e-1
1.657926250e-1	1.260988601e-1	1.887826198e-1	7.160710788e-1	7.511974374e-1
1.757726250e-1	-2.727492213e-2	3.716197908e-3	5.685300404e-1	5.691960456e-1
1.857536250e-1	5.598124266e-2	-2.497547534e-1	3.766302699e-1	4.553698459e-1
1.957346250e-1	4.664380936e-1	-5.246516570e-1	3.568777907e-1	7.875186435e-1
2.057146250e-1	8.420408615e-1	-5.165982869e-1	4.734402806e-1	1.095468987e0
2.156956250e-1	1.449672695e0	-4.515965447e-1	5.274609518e-1	1.607390872e0
2.256766250e-1	7.440570223e-1	-5.745880482e-1	7.746742129e-1	1.218151228e0
2.356576250e-1	2.202666602e-1	-1.322207487e-1	6.479048234e-1	6.969794747e-1
2.456376250e-1	3.477134496e-1	2.768045577e-1	6.866303480e-1	8.179160354e-1
2.556186250e-1	3.323548606e-1	2.422112605e-1	7.100086856e-1	8.205110491e-1
2.655996250e-1	3.324868615e-1	1.789192441e-1	4.091706097e-1	5.567586522e-1
2.755806250e-1	4.087991653e-1	-1.083108991e-2	1.607323569e-1	4.393961318e-1
2.855606250e-1	3.425643915e-1	-1.975762475e-1	-3.128260374e-4	3.954577522e-1
2.955416250e-1	1.908207399e-1	-2.062763196e-1	-3.782920486e-1	4.712402241e-1
3.055226250e-1	1.767136744e-1	-2.219176215e-1	-8.339942157e-1	8.809208281e-1
3.155036250e-1	-2.707850685e-1	-2.476050246e-1	-1.059354678e0	1.121099966e0
3.254836250e-1	-9.371448009e-1	-2.235302836e-2	-9.800073767e-1	1.356154303e0
3.354646250e-1	-1.097317068e0	2.647812206e-1	-5.639861691e-1	1.261861419e0
3.454456250e-1	-7.728737091e-1	3.327080324e-1	-1.826395351e-1	8.610375165e-1
3.554256250e-1	-3.233826005e-1	2.068280044e-1	-8.982960463e-2	3.942378566e-1
3.654066250e-1	-1.336660342e-1	-6.130542487e-2	-2.582574821e-1	2.971899912e-1
3.753876250e-1	-2.054060347e-1	-1.895939210e-1	-2.797892690e-1	3.954990885e-1
3.853686250e-1	-3.284700436e-1	-1.964068043e-1	-2.757611221e-1	4.717121991e-1
3.953486250e-1	-3.534851631e-1	-1.643321952e-1	-3.573210096e-1	5.288053846e-1
4.053296250e-1	-3.309387746e-1	-1.393508434e-1	-3.252268124e-1	4.844704424e-1
4.153106250e-1	-4.025105580e-1	-1.608598262e-2	-3.335251808e-2	4.042102158e-1
4.252916250e-1	-2.602816419e-1	-6.898574263e-2	6.630742550e-4	2.692693920e-1
4.352716250e-1	-7.066820584e-2	-2.107748750e-1	-1.683764219e-2	2.229429287e-1
4.452526250e-1	2.196029281e-1	-3.710151887e-1	2.469717711e-1	4.968629308e-1
4.552336250e-1	7.716011357e-1	-4.373538968e-1	5.817172658e-1	1.060679839e0
4.652146250e-1	1.479740832e0	-7.430515936e-1	2.091818011e-1	1.668986407e0
4.751946250e-1	1.299051489e0	-6.742579320e-1	2.151827985e-1	1.479345182e0
4.851756250e-1	1.040517507e0	-4.156431851e-1	6.848229736e-1	1.313171141e0
4.951566250e-1	2.105455180e0	-1.045529229e0	5.783071697e-1	2.420849451e0
5.051366250e-1	6.735239603e-1	-3.229697871e-1	3.148059046e-1	8.105842128e-1
5.151176250e-1	-2.176897922e0	4.020629683e0	8.334176803e-1	4.647465184e0
5.250986250e-1	-1.068901427e0	3.856791869e0	1.357384921e0	4.226096024e0
5.350796250e-1	1.783423140e0	1.671829175e0	1.212490332e-1	2.447511433e0
5.450596250e-1	2.550473022e0	1.884810205e0	-1.431702447e-1	3.174573965e0
5.550406250e-1	1.900147451e0	2.553214197e0	7.378636515e-1	3.267094403e0
5.650216250e-1	2.124110136e0	2.687318626e0	1.682967244e0	3.816530363e0
5.750026250e-1	1.899822638e0	2.470841254e0	1.991197954e0	3.698547262e0
5.849826250e-1	1.041601508e0	1.852757815e0	1.597770388e0	2.659044083e0
5.949636250e-1	7.120362807e-2	1.528735237e0	1.308365958e0	2.013435586e0
6.049446250e-1	-4.363465677e-1	1.533619123e0	1.327872854e0	2.075001749e0
6.149246250e-1	-1.667115735e0	2.266138127e0	1.620618968e0	3.246700283e0
6.249056250e-1	-2.181906647e0	2.072539448e0	1.681756870e0	3.447381985e0
6.348866250e-1	-1.431921133e0	1.419744599e0	1.243621493e0	2.369106851e0
6.448676250e-1	-1.132607134e0	1.762093228e0	8.936632973e-1	2.277368119e0
6.548476250e-1	-1.563329703e0	1.665154578e0	8.874085307e-1	2.450353736e0
6.648286250e-1	-2.134155360e0	1.252633222e0	8.188300467e-1	2.606567040e0
6.748096250e-1	5.647803672e-1	2.487407585e0	1.559686303e0	2.989781718e0
6.847906250e-1	2.449284908e0	4.496067372e0	1.101909544e0	5.237157914e0
6.947706250e-1	2.714820931e-1	2.837098563e0	8.053966534e-1	2.961670906e0
7.047516250e-1	5.548933833e-1	3.274344286e0	2.562353395e0	4.194626574e0
7.147326250e-1	5.981260879e-1	3.616282149e0	4.148929288e0	5.536141764e0
7.247136250e-1	1.613763400e0	4.147031282e0	6.985177959e0	8.282198493e0
7.346936250e-1	8.839626203e-1	3.361515454e0	7.806946231e0	8.545734932e0
7.446746250e-1	3.582914282e-2	2.921778232e0	7.787107798e0	8.317278378e0
7.546556250e-1	-1.735080846e-1	3.000722660e0	8.577537333e0	9.088926683e0
7.646356250e-1	9.322259769e-2	3.139661860e0	9.519953545e0	1.002475349e1
7.746166250e-1	1.242260407e0	3.331971520e0	1.119861548e1	1.174964825e1
7.845976250e-1	2.836063898e0	3.514885582e0	1.261599927e1	1.340004167e1
7.945786250e-1	4.704847469e0	3.722749128e0	1.338330599e1	1.466653777e1
8.045586250e-1	7.249514206e0	4.162106574e0	1.469721043e1	1.690818091e1
8.145396250e-1	8.221674035e0	4.593938652e0	1.321013953e1	1.622368585e1
8.245206250e-1	9.790913519e0	4.797483153e0	1.242357208e1	1.652945781e1
8.345016250e-1	1.045170736e1	3.824632768e0	1.176840677e1	1.619757391e1
8.444816250e-1	1.038475206e1	1.636391248e0	1.116801700e1	1.533771350e1
8.544626250e-1	9.448066707e0	-1.106140589e0	1.043831841e1	1.412260608e1
8.644436250e-1	9.473764635e0	-4.515449138e0	8.325145778e0	1.339587808e1
8.744246250e-1	1.080637490e1	-9.010646444e0	5.516572564e0	1.511297657e1
8.844046250e-1	1.137895765e1	-1.456198889e1	2.373097150e0	1.863233178e1
8.943856250e-1	8.198851182e0	-2.085548392e1	-1.058358020e0	2.243418133e1
9.043666250e-1	4.801786996e0	-2.783288684e1	-4.554189573e0	2.860886909e1
9.143476250e-1	2.301284279e0	-3.507932950e1	-9.119075457e0	3.631821588e1
9.243276250e-1	-5.004758762e0	-4.256729959e1	-1.616699813e1	4.580823544e1
9.343086250e-1	-1.829596935e1	-4.880604949e1	-2.434464380e1	5.752768588e1
9.442896250e-1	-3.228985446e1	-5.220405829e1	-3.233931021e1	6.938104488e1
9.542696250e-1	-4.067008862e1	-5.238720712e1	-3.719607302e1	7.603961748e1
9.642506250e-1	-3.996189724e1	-5.089496494e1	-3.765113141e1	7.486560214e1
9.742316250e-1	-3.247347575e1	-4.889612467e1	-3.428462975e1	6.797641850e1
9.842126250e-1	-2.311035271e1	-4.509824584e1	-2.906961739e1	5.842073977e1
9.941926250e-1	-1.421936661e1	-3.969256514e1	-2.387726182e1	4.845424384e1
1.004173625e0	-3.444239815e0	-3.243339191e1	-1.660596732e1	3.659980669e1
1.014154625e0	1.130055233e1	-2.179209794e1	-4.838416001e0	2.502015758e1
1.024135625e0	2.803172959e1	-7.326293995e0	9.511508412e0	3.049461001e1
1.034115625e0	4.000561571e1	8.872645723e0	2.637751252e1	4.873342074e1
1.044096625e0	4.318782015e1	2.245167790e1	4.473581670e1	6.611020304e1
1.054078458e0	4.111653055e1	3.263108861e1	6.121805577e1	8.064122631e1
1.064059458e0	3.779176397e1	3.992227183e1	7.063533806e1	8.950617965e1
1.074039458e0	3.218464902e1	4.347446002e1	7.032414456e1	8.872071695e1
1.084020458e0	2.619174648e1	4.275046246e1	7.021061502e1	8.627363494e1
1.094001458e0	2.376262365e1	3.771857788e1	7.027254405e1	8.322009281e1
1.103981458e0	2.479933966e1	2.954019897e1	6.133928960e1	7.245784327e1
1.113962458e0	2.654801265e1	2.009453897e1	4.026170972e1	5.224550451e1
1.123943458e0	2.723867407e1	1.147033092e1	2.191049003e1	3.679107813e1
1.133924458e0	2.671710244e1	4.435057524e0	7.887029112e0	2.820777421e1
1.143904458e0	2.448156922e1	-2.089935207e0	1.004171580e-2	2.457061582e1
1.153885458e0	2.096778321e1	-8.878513988e0	-6.821788627e-1	2.278028339e1
1.163866458e0	1.764694596e1	-1.619230839e1	1.224641139e0	2.398135314e1
1.173847458e0	1.415913327e1	-2.394258692e1	2.072440630e0	2.789307322e1
1.183827458e0	1.070332357e1	-3.258508740e1	2.358420347e0	3.437893545e1
1.193808458e0	7.519279009e0	-4.199974078e1	1.705534134e0	4.270159984e1
1.203789458e0	4.109731309e0	-5.170312499e1	-7.239694977e-1	5.187125559e1
1.213770458e0	3.502871016e-1	-6.059260016e1	-4.986398504e0	6.079843802e1
1.223750458e0	-5.981430886e0	-6.745115959e1	-1.132076148e1	6.865563405e1
