"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.283852700E-1	2.591004848E0	-5.163497925E-1	-3.099786043E-1	2.660077061E0
1.467244370E-1	3.593895912E0	-3.966665268E-1	7.886557579E-1	3.700731018E0
1.650635510E-1	4.036388874E0	2.915830612E-1	1.963035822E0	4.497884554E0
1.834027180E-1	3.909866810E0	7.510070801E-1	3.027153730E0	5.001472764E0
2.017418840E-1	3.179895163E0	-4.952697754E-1	5.673458576E0	6.522664916E0
2.200809990E-1	2.289291859E0	-2.306745529E0	7.190473557E0	7.890807444E0
2.384201660E-1	1.820315719E0	-1.599905014E0	4.080890656E0	4.746252618E0
2.567593320E-1	1.213720560E0	-2.248544693E-1	1.880879641E0	2.249752287E0
2.750984990E-1	1.158159018E0	1.005860329E0	-1.560304463E-1	1.541892607E0
2.934248530E-1	1.265464783E0	1.710757256E0	-1.242861629E0	2.464304472E0
3.117767800E-1	1.159294844E0	1.335586548E0	-6.416468620E-1	1.881347033E0
3.301159470E-1	6.519585848E-1	4.343910217E-1	-4.473260045E-2	7.846952030E-1
3.484550620E-1	4.298788607E-1	-2.273616791E-1	1.108166575E0	1.210174503E0
3.667942280E-1	7.152602077E-1	-8.847236633E-1	1.503051758E0	1.885072336E0
3.851333950E-1	1.044846058E0	-1.018369675E0	1.788564205E0	2.308190199E0
4.034725620E-1	1.308492661E0	-7.256956100E-1	2.350528479E0	2.786354480E0
4.218116760E-1	1.089504838E0	-3.917350769E-1	2.547450542E0	2.798210398E0
4.401508430E-1	5.471384525E-1	-8.048725128E-2	1.935079336E0	2.012553284E0
4.584771970E-1	1.116648912E-1	1.691875458E-1	8.052546978E-1	8.303785895E-1
4.768291240E-1	-2.383100986E-1	3.033914566E-1	8.527185023E-2	3.951067799E-1
4.951682910E-1	-2.608963847E-1	5.721282959E-2	7.942063808E-1	8.379164677E-1
5.135074570E-1	-1.789306998E-1	-3.467741013E-1	1.856593966E0	1.897158304E0
5.318466240E-1	-2.534925938E-2	-8.662796021E-1	2.689932346E0	2.826096064E0
5.501857390E-1	5.896162987E-2	-1.278831482E0	3.054712057E0	3.312122006E0
5.685249050E-1	-8.053731918E-2	-1.308775902E0	2.930359364E0	3.210356152E0
5.868640720E-1	-3.966322541E-1	-9.802265167E-1	2.512321711E0	2.725788243E0
6.052032390E-1	-7.830541730E-1	-4.710683823E-1	2.127640724E0	2.315585090E0
6.235423530E-1	-1.173792124E0	9.162425995E-2	2.166762829E0	2.465977314E0
6.418815200E-1	-1.155583262E0	7.389564514E-1	2.496220112E0	2.848252826E0
6.602206870E-1	-5.569201112E-1	1.287497520E0	3.141837597E0	3.440778017E0
6.785598530E-1	2.527034283E-1	1.556649208E0	2.767382622E0	3.185187962E0
6.968989680E-1	6.375518441E-1	1.491749763E0	1.903212309E0	2.500801232E0
7.152381340E-1	5.954940319E-1	1.063254356E0	1.200314522E0	1.710519781E0
7.335773010E-1	6.541761160E-1	1.271762848E-1	4.706635475E-1	8.158703164E-1
7.519164680E-1	4.897428155E-1	-1.021451950E0	2.471551001E-1	1.159438552E0
7.702555820E-1	5.439034104E-2	-2.246196747E0	1.285017371E0	2.588363919E0
7.885819890E-1	-3.397839963E-1	-3.456359863E0	2.721517324E0	4.412316083E0
8.069339160E-1	-1.489450455E0	-2.878686905E0	2.929283857E0	4.368753240E0
8.252730820E-1	-2.639032364E0	9.967098236E-1	-6.245890260E-2	2.821670322E0
8.435994370E-1	6.058112979E-1	4.487699509E0	-5.315381527E0	6.982817124E0
8.619513640E-1	2.807165146E0	6.381913185E0	-3.402489662E0	7.757959007E0
8.802905300E-1	2.490193844E0	4.615220070E0	-1.941802263E0	5.592129979E0
8.986168840E-1	1.224256754E0	6.173543930E-1	-2.273364544E0	2.654829071E0
9.169688640E-1	-6.993385553E-1	-1.917150974E0	-1.109126091E0	2.322649986E0
9.353079780E-1	-1.968024611E0	-3.934470654E0	9.860250354E-1	4.508372829E0
9.536343840E-1	-1.840120077E0	-6.406578064E0	2.803218365E0	7.231066145E0
9.719863120E-1	-1.413580894E0	-8.017025948E0	4.438973904E0	9.272292344E0
9.903254780E-1	-5.047506094E-2	-8.309226990E0	4.542773247E0	9.470089211E0
1.008651832E0	1.352740765E0	-7.459927559E0	2.803300858E0	8.083249499E0
1.027003759E0	1.650560617E0	-6.249853134E0	1.179635286E0	6.570886847E0
1.045342926E0	1.136384487E0	-4.422003746E0	-4.886332750E-1	4.591758847E0
1.063669332E0	1.320647955E0	-1.522987366E0	-1.081959248E0	2.287845570E0
1.082021259E0	2.358790398E0	1.192580223E0	3.347880840E-1	2.664249010E0
1.100360374E0	3.432988167E0	2.971742630E0	2.551566839E0	5.208373580E0
1.118686780E0	2.266353369E0	8.692197800E-1	3.828535318E0	4.533164822E0
1.137038707E0	-5.740004778E-1	2.519657135E0	1.540105820E0	3.008334184E0
1.155377874E0	-1.535729885E0	3.928221703E0	-1.530223608E0	4.486755656E0
1.173704228E0	9.320228696E-1	2.256229401E0	1.234415770E0	2.735510927E0
1.192056155E0	2.594290018E0	2.864381790E0	4.502467155E0	5.933568422E0
1.210395322E0	2.214445829E0	7.767010689E0	6.252067566E0	1.021364647E1
1.228721728E0	-9.800839424E-1	1.065313816E1	5.546936035E0	1.205066042E1
1.247073655E0	-2.313282490E0	5.998569489E0	4.620407104E0	7.917213752E0
1.265412822E0	-2.247265339E0	5.883391380E0	5.375539303E0	8.280152078E0
1.283739176E0	-1.828047395E0	9.372230530E0	5.919527054E0	1.123482367E1
1.302091103E0	-1.957560658E0	1.411612701E1	5.929592133E0	1.543558060E1
1.320430270E0	-1.902818918E0	1.713640976E1	3.356984138E0	1.756549464E1
