"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.434779940E-1	5.324804783E-2	1.826345444E0	-7.756233215E-2	1.828767057E0
1.618165870E-1	-2.100939751E-1	2.791008949E0	-1.775307655E-1	2.804529837E0
1.801551810E-1	-3.922311068E-1	3.215277672E0	5.255765915E-1	3.281476269E0
1.984937750E-1	-1.985750198E-1	2.807310104E0	1.286730766E0	3.094527125E0
2.168323690E-1	9.200221896E-1	1.657191277E0	1.077221394E0	2.180167353E0
2.351709620E-1	1.519692421E0	1.678516388E0	8.257436752E-2	2.265767165E0
2.535095560E-1	2.198375702E0	3.717859268E0	-2.533764839E-1	4.326607552E0
2.718482020E-1	2.985526085E0	4.793114662E0	-1.973653078E0	5.981857625E0
2.901739830E-1	3.600514650E0	3.523768425E0	-3.253235340E0	5.997015077E0
3.085253890E-1	4.099729061E0	3.103220940E0	-4.322167873E0	6.717059900E0
3.268639830E-1	3.591977119E0	3.505969048E0	-3.571632385E0	6.160412039E0
3.452025770E-1	2.691080570E0	2.737504959E0	-2.788385630E0	4.744569786E0
3.635411710E-1	1.964863777E0	7.376174927E-1	-2.672492027E0	3.398085176E0
3.818797640E-1	1.160312653E0	-5.431241989E-1	-2.034276009E0	2.404077417E0
4.002055980E-1	9.304078817E-1	-1.303666592E0	-7.697637081E-1	1.777003538E0
4.185569520E-1	1.250848174E0	-1.822040081E0	-7.861232758E-2	2.211477133E0
4.368955460E-1	1.980460048E0	-2.775017738E0	-9.246754646E-2	3.410497866E0
4.552213790E-1	2.590623617E0	-3.234833717E0	-1.881986856E0	4.551632063E0
4.735727850E-1	2.119770050E0	-2.192483902E0	-2.957735538E0	4.248365596E0
4.919113790E-1	1.945489168E0	-1.061572552E0	-1.506350040E0	2.679730365E0
5.102372120E-1	1.581144094E0	3.530454636E-1	-1.541193247E0	2.236053302E0
5.285885660E-1	2.976814270E0	8.707799911E-1	-2.398243189E0	3.920618750E0
5.469271600E-1	3.428918600E0	9.742498398E-1	-1.389660597E0	3.825938067E0
5.652657540E-1	2.305121422E0	5.052337646E-1	-7.761559486E-1	2.484202887E0
5.836043480E-1	1.070438385E0	1.245117188E-2	-4.917051792E-1	1.178035378E0
6.019429940E-1	-1.205170155E-1	-2.745914459E-1	-7.970275879E-1	8.515737132E-1
6.202815870E-1	-9.182630777E-1	-1.652956009E-1	-8.478791714E-1	1.260725507E0
6.386201810E-1	-1.033496857E0	9.742069244E-2	-9.004282951E-1	1.374182542E0
6.569587750E-1	-5.244504213E-1	4.785442352E-2	-8.422122002E-1	9.933074451E-1
