"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.235070060E-1	2.303995490E-1	-4.765968323E-1	-1.486935616E-1	5.498529512E-1
1.418456520E-1	-1.859171987E-1	-4.333257675E-1	-3.951902390E-1	6.152330863E-1
1.601843500E-1	-5.385524035E-2	2.147865295E-2	-3.383860588E-1	3.433174103E-1
1.785230480E-1	7.063906193E-1	6.558256149E-1	7.351779938E-2	9.666953041E-1
1.968617450E-1	5.975232720E-1	8.191595078E-1	-5.114712715E-1	1.135631640E0
2.152004430E-1	-1.655274034E-1	1.031211853E0	-2.473911285E0	2.685336898E0
2.335391410E-1	-1.448769569E-1	-5.211353302E-1	-1.709930897E0	1.793442231E0
2.518777870E-1	-1.147633195E-1	-1.033225060E0	9.930610657E-2	1.044311422E0
2.702164850E-1	-3.611648083E-1	-4.315843582E-1	4.353046417E-3	5.627823967E-1
2.885551830E-1	-5.992945433E-1	4.083929062E-1	-1.169145823E0	1.375805462E0
3.068938810E-1	-6.365978718E-1	9.792137146E-1	-1.841783285E0	2.180890189E0
3.252325790E-1	-4.646244049E-1	8.715667725E-1	-1.357530832E0	1.678807445E0
3.435712770E-1	-4.119709730E-1	4.194011688E-1	-2.877497673E-1	6.545359819E-1
3.619099230E-1	-3.443929553E-1	5.115509033E-3	2.968449593E-1	4.546972684E-1
3.802486200E-1	-6.751920581E-1	-3.759145737E-1	-8.851013184E-1	1.174989543E0
3.985873180E-1	-1.031656265E0	-7.596845627E-1	-1.829563618E0	2.233548369E0
4.169260160E-1	-1.005826950E0	-9.944911003E-1	-1.469601870E0	2.039713229E0
4.352647140E-1	-4.447400570E-1	-7.406520844E-2	-1.027011395E0	1.121620158E0
4.536033600E-1	5.317940563E-2	6.283063889E-1	-1.541047096E-1	6.491111068E-1
4.719420580E-1	7.796138525E-4	7.058515549E-1	-3.680238724E-1	7.960330370E-1
4.902807560E-1	-3.691288829E-1	3.973464966E-1	-1.071851254E0	1.201251631E0
5.086194540E-1	-6.613416076E-1	-7.530307770E-2	-1.525921822E0	1.664776466E0
5.269581520E-1	-8.739708066E-1	-2.587194443E-1	-1.767929792E0	1.989054165E0
5.452968500E-1	-6.696988344E-1	1.040153503E-1	-1.213158607E0	1.389629277E0
5.636354950E-1	-1.968178302E-1	9.198913574E-1	-2.303667068E-1	9.685071953E-1
5.819741930E-1	-2.335688025E-1	7.757978439E-1	3.276619911E-1	8.739445409E-1
6.003128910E-1	-4.732588232E-1	3.705024719E-1	-2.916226387E-1	6.680492188E-1
6.186515890E-1	-4.398575425E-1	3.250818253E-1	-1.032942533E0	1.168812700E0
6.369902870E-1	-5.788838863E-1	1.917600632E-1	-1.295819759E0	1.432140819E0
6.553289330E-1	-6.644700766E-1	2.514772415E-1	-1.243972063E0	1.432559869E0
6.736676310E-1	-2.972925603E-1	1.018462181E0	-5.727353096E-1	1.205683962E0
6.920063290E-1	3.301425278E-1	1.795750618E0	2.085003853E-1	1.837712377E0
7.103450270E-1	8.790208697E-1	2.545924187E0	5.943288803E-1	2.758194060E0
7.286837250E-1	1.113337636E0	2.653885841E0	5.375785828E-1	2.927733165E0
7.470223700E-1	1.067612410E0	2.168138504E0	-1.836571693E-1	2.423706002E0
7.653610680E-1	1.364984035E0	1.747807503E0	-3.232269287E-1	2.241090835E0
7.836997660E-1	1.719239950E0	1.813593864E0	7.512269020E-1	2.609454075E0
8.020384640E-1	1.810832739E0	1.657262802E0	1.382508039E0	2.817261735E0
8.203771100E-1	1.349605680E0	1.181078911E0	3.186025620E-1	1.821507748E0
8.387030480E-1	7.874624133E-1	-7.136726379E-2	-7.167294025E-1	1.067188538E0
8.570545060E-1	1.616774797E-1	-1.578240871E0	-1.488363743E0	2.175364449E0
8.753932040E-1	1.998972297E-1	-2.232607841E0	-1.693202496E0	2.809169160E0
8.937319020E-1	3.648144007E-1	-2.055372715E0	-1.852057695E0	2.790656599E0
9.120705480E-1	5.291146040E-2	-1.509481907E0	-2.335665226E0	2.781486527E0
9.304092450E-1	-2.960557044E-1	-1.212794304E0	-2.149551868E0	2.485777995E0
9.487479430E-1	-5.231702328E-2	-9.851360321E-1	-1.439787865E0	1.745342135E0
9.670866410E-1	2.890787125E-1	-5.790786743E-1	-8.534371853E-1	1.071099268E0
9.854252870E-1	1.846638322E-1	-9.428396225E-1	-7.344133854E-1	1.209301577E0
1.003763985E0	-2.606337667E-1	-1.530566692E0	-7.407536507E-1	1.720255891E0
1.022102683E0	-7.372164130E-1	-1.544545650E0	-1.877098560E0	2.540198479E0
1.040441381E0	-5.741302967E-1	-1.296629906E0	-2.059744835E0	2.500684605E0
1.058780027E0	2.488917112E-2	-6.523084641E-1	-8.466928005E-1	1.069118563E0
1.077118725E0	4.462996125E-1	-1.574401855E-1	-1.991152763E-2	4.736741761E-1
