"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
-1.812625000e-3	-1.477749270e0	-2.926977284e-1	-1.146751841e0	1.893265605e0
8.168375003e-3	-1.400591167e0	-1.875223987e-1	-1.256516358e0	1.890939878e0
1.814837500e-2	-1.386430964e0	-8.327677622e-2	-1.334593059e0	1.926204681e0
2.812937500e-2	-1.630346396e0	-4.668271710e-2	-1.409452037e0	2.155635334e0
3.810937500e-2	-2.025490705e0	-7.180512384e-2	-1.465606942e0	2.501154190e0
4.809037500e-2	-2.489608185e0	-7.147605350e-2	-1.597452884e0	2.958904097e0
5.807037500e-2	-2.885776926e0	-4.124333560e-2	-1.703707318e0	3.351421803e0
6.805137500e-2	-3.198558524e0	2.340755543e-2	-1.787858691e0	3.664391252e0
7.803137500e-2	-3.517200202e0	1.135268987e-1	-1.840428084e0	3.971241764e0
8.801237500e-2	-3.765492275e0	2.259954697e-1	-1.790535547e0	4.175646485e0
9.799237500e-2	-3.941752498e0	2.122936893e-1	-1.756539250e0	4.320637858e0
1.079729167e-1	-4.038543797e0	1.053506000e-1	-1.762556620e0	4.407668385e0
1.179529167e-1	-3.982732124e0	3.336070418e-2	-1.736963357e0	4.345147847e0
1.279339167e-1	-3.794864008e0	5.852565398e-2	-1.745254124e0	4.177359220e0
1.379139167e-1	-3.531957405e0	1.327629317e-1	-1.758094025e0	3.947561742e0
1.478949167e-1	-3.210521343e0	1.788927855e-1	-1.770969594e0	3.670937649e0
1.578749167e-1	-2.868373858e0	2.496455567e-1	-1.765828722e0	3.377579394e0
1.678559167e-1	-2.562897186e0	2.760214694e-1	-1.800172927e0	3.144082124e0
1.778369167e-1	-2.263868238e0	2.196756528e-1	-1.785963024e0	2.891888780e0
1.878169167e-1	-1.940696138e0	2.494641468e-2	-1.816742767e0	2.658472889e0
1.977979167e-1	-1.284568959e0	-4.743071303e-1	-1.826905813e0	2.283127135e0
2.077779167e-1	-9.318766057e-2	-9.204710269e-1	-1.482658592e0	1.747634788e0
2.177589167e-1	1.658567398e0	-1.178911088e0	-8.792820704e-1	2.216712459e0
2.277389167e-1	3.797277154e0	-1.339604561e0	9.191823006e-3	4.026653531e0
2.377199167e-1	5.879232082e0	-1.345021129e0	8.810765809e-1	6.095141315e0
2.476999167e-1	7.831153704e0	-1.203405221e0	1.844697720e0	8.134989990e0
2.576809167e-1	9.483378627e0	-7.143215919e-1	3.281017714e0	1.006030828e1
2.676609167e-1	1.027314626e1	9.337389439e-2	4.973024753e0	1.141390502e1
2.776419167e-1	1.000377907e1	5.413328862e-1	7.037152104e0	1.224296315e1
2.876219167e-1	9.287159518e0	2.616262092e-1	9.037013294e0	1.296099493e1
2.976029167e-1	8.973479787e0	-1.457738819e-1	1.044185246e1	1.376869174e1
3.075829167e-1	9.750679412e0	-1.325506778e-1	1.100465632e1	1.470359750e1
3.175639167e-1	1.126972347e1	2.526526335e-1	1.090491335e1	1.568399298e1
3.275449167e-1	1.278223795e1	5.875630197e-1	1.044191210e1	1.651557948e1
3.375249167e-1	1.364194939e1	4.746692191e-1	9.745460188e0	1.677206273e1
3.475059167e-1	1.395371240e1	5.017482595e-1	9.272868338e0	1.676138205e1
3.574859167e-1	1.377265337e1	4.863270322e-1	8.922856933e0	1.641766947e1
3.674669167e-1	1.287335979e1	3.921487802e-1	8.196601174e0	1.526635005e1
3.774469167e-1	1.183047262e1	4.856314328e-1	7.427431530e0	1.397721931e1
3.874279167e-1	1.089881003e1	5.813428979e-1	6.451111407e0	1.267828293e1
3.974079167e-1	1.014483262e1	6.454817373e-1	5.191652731e0	1.141435647e1
4.073889167e-1	9.660907111e0	4.904952930e-1	3.598833180e0	1.032111002e1
4.173689167e-1	9.393479440e0	3.515546317e-1	1.805786839e0	9.571933596e0
4.273499167e-1	9.103462222e0	1.616910079e-1	6.019766986e-2	9.105097043e0
4.373299167e-1	8.524934612e0	-2.529156120e-1	-1.705051008e0	8.697452235e0
4.473109167e-1	7.736100782e0	-2.307067175e-1	-3.067320400e0	8.325198816e0
