"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
-2.437083313e-4	-4.993875924e-1	-6.845569253e-1	8.198498011e-2	8.513093964e-1
9.737291672e-3	-1.075203410e0	-1.407901356e0	3.964473608e-1	1.815328926e0
1.971829167e-2	-1.678207464e0	-2.269903734e0	7.597073874e-1	2.923353993e0
2.969929167e-2	-2.109614889e0	-3.434546885e0	1.191204128e0	4.203041109e0
3.968029167e-2	-2.365670456e0	-4.814883882e0	1.565089715e0	5.588292165e0
4.966129167e-2	-2.647425705e0	-6.092246733e0	1.859891710e0	6.898081638e0
5.964229167e-2	-2.904820722e0	-7.209095913e0	2.254790144e0	8.092782334e0
6.962229167e-2	-2.796965029e0	-8.050466976e0	2.725337807e0	8.947653215e0
7.960329167e-2	-2.450758261e0	-8.626283816e0	3.248729681e0	9.537988943e0
8.958429167e-2	-2.167414031e0	-9.255267634e0	3.806673338e0	1.023955197e1
9.956529167e-2	-1.915431634e0	-1.005993806e1	4.173399009e0	1.105841270e1
1.095462917e-1	-1.550338652e0	-1.081165377e1	4.081173508e0	1.165981922e1
1.195272917e-1	-1.312459740e0	-1.127133847e1	3.757667823e0	1.195348021e1
1.295082917e-1	-1.271356006e0	-1.162382033e1	3.452372415e0	1.219214585e1
1.394892917e-1	-1.194155364e0	-1.167772230e1	3.102469183e0	1.214168523e1
1.494692917e-1	-9.741231774e-1	-1.129576229e1	2.688413809e0	1.165206980e1
1.594502917e-1	-3.885229218e-1	-1.060991547e1	2.135403449e0	1.082964470e1
1.694312917e-1	3.576022607e-1	-9.440282893e0	1.487424073e0	9.563433006e0
1.794122917e-1	8.364218335e-1	-7.665268196e0	8.210937962e-1	7.754362193e0
1.893932917e-1	9.892700972e-1	-5.575159911e0	3.569786552e-1	5.673490735e0
1.993742917e-1	1.095552597e0	-3.245553766e0	-6.858696252e-2	3.426158040e0
2.093552917e-1	1.193402389e0	-7.031662738e-1	-6.856120554e-1	1.545547140e0
2.193352917e-1	1.260944454e0	1.800554166e0	-1.519246960e0	2.672094225e0
2.293162917e-1	1.438116843e0	4.027161022e0	-2.395413049e0	4.901449748e0
2.392972917e-1	1.952496988e0	5.858599012e0	-3.209393415e0	6.959571320e0
2.492782917e-1	2.858540303e0	7.282524662e0	-3.785159385e0	8.691021211e0
2.592592917e-1	3.692831557e0	8.430649429e0	-4.065375208e0	1.006181546e1
2.692402917e-1	4.292304770e0	9.378826318e0	-4.001147345e0	1.106324742e1
2.792212917e-1	4.585971529e0	1.013236285e1	-3.496819440e0	1.165863019e1
2.892022917e-1	4.540628710e0	1.071104541e1	-2.843931327e0	1.197629944e1
2.991822917e-1	4.365152307e0	1.106861200e1	-2.354987154e0	1.212908450e1
3.091632917e-1	4.099800398e0	1.118856763e1	-2.107830611e0	1.210104784e1
3.191446667e-1	3.848177751e0	1.102942279e1	-2.064034381e0	1.186241447e1
3.291256667e-1	3.437445643e0	1.057643432e1	-2.171492171e0	1.133103586e1
3.391066667e-1	2.938905019e0	1.008488696e1	-2.298042583e0	1.075281858e1
3.490876667e-1	2.360830569e0	9.605022347e0	-2.437558902e0	1.018683801e1
3.590686667e-1	1.892941635e0	9.229981935e0	-2.813346004e0	9.833143459e0
3.690486667e-1	1.457001449e0	9.077497661e0	-3.134007310e0	9.713177586e0
3.790296667e-1	1.311790233e0	9.046034378e0	-3.270651477e0	9.708176588e0
3.890106667e-1	1.440222863e0	9.209277529e0	-3.227801912e0	9.864265796e0
3.989916667e-1	1.737533022e0	9.348047159e0	-2.898672667e0	9.940186614e0
4.089726667e-1	2.089235442e0	9.348469328e0	-2.382212082e0	9.870851935e0
4.189536667e-1	2.349930482e0	9.337729747e0	-1.791830705e0	9.794183344e0
4.289346667e-1	2.521748575e0	9.352360066e0	-1.334895360e0	9.777924130e0
4.389146667e-1	2.512398000e0	9.299427561e0	-1.146843057e0	9.700863141e0
4.488956667e-1	2.283557129e0	9.088961127e0	-9.911568475e-1	9.423706247e0
4.588766667e-1	1.955888081e0	8.641022893e0	-7.870668018e-1	8.894506674e0
4.688576667e-1	1.618548177e0	8.016538507e0	-6.606570160e-1	8.204940921e0
4.788386667e-1	1.224692156e0	7.299523687e0	-4.757712731e-1	7.416823797e0
4.888196667e-1	5.516071750e-1	6.182987918e0	-1.568229085e-1	6.209525223e0
4.988006667e-1	-1.532385653e-1	4.542142847e0	2.431161171e-1	4.551225016e0
5.087816667e-1	-7.461545648e-1	2.676605650e0	9.173860359e-1	2.926185499e0
5.187616667e-1	-1.208485136e0	6.394363010e-1	1.754391568e0	2.224231301e0
5.287426667e-1	-1.490950383e0	-1.670916717e0	2.767181651e0	3.559801962e0
5.387236667e-1	-2.192283993e0	-5.032742366e0	4.661167307e0	7.201464121e0
5.487046667e-1	-3.177469956e0	-9.604092640e0	7.168416833e0	1.239843178e1
5.586856667e-1	-4.059577401e0	-1.444062057e1	9.097834277e0	1.754372480e1
5.686666667e-1	-4.764322423e0	-1.882627088e1	9.697690190e0	2.170650682e1
5.786476667e-1	-5.351640152e0	-2.321916004e1	9.639683472e0	2.570394800e1
5.886276667e-1	-5.160867140e0	-2.580679153e1	8.010667902e0	2.750992256e1
5.986086667e-1	-5.040088223e0	-2.622308756e1	5.236682138e0	2.721168224e1
6.085896667e-1	-5.338728915e0	-2.606281070e1	2.461870455e0	2.671765211e1
6.185706667e-1	-6.051402177e0	-2.544911969e1	9.670142788e-1	2.617655970e1
6.285516667e-1	-6.580044851e0	-2.434236573e1	9.053828716e-1	2.523227056e1
6.385326667e-1	-6.419503698e0	-2.278999312e1	1.819121999e0	2.374664227e1
6.485136667e-1	-5.554486495e0	-2.058233943e1	3.255368902e0	2.156577018e1
6.584946667e-1	-4.057253425e0	-1.788622338e1	4.200799354e0	1.881555227e1
6.684746667e-1	-2.307787260e0	-1.496113503e1	4.825415887e0	1.588855192e1
6.784556667e-1	-9.159502521e-1	-1.184140224e1	5.043484286e0	1.290327500e1
6.884366667e-1	6.390919000e-2	-8.750160003e0	4.773524479e0	9.967743998e0
6.984176667e-1	5.516356802e-1	-5.683833922e0	4.126123978e0	7.045223138e0
7.083986667e-1	6.895790988e-1	-2.712060242e0	3.155066934e0	4.217254729e0
7.183796667e-1	6.654634273e-1	1.841715056e-1	1.817448818e0	1.944191586e0
7.283606667e-1	7.681648001e-1	3.257145286e0	1.060934888e-1	3.348182851e0
7.383406667e-1	1.000580513e0	5.959646500e0	-1.406422741e0	6.204560636e0
7.483216667e-1	1.265229294e0	8.160150801e0	-2.801740158e0	8.720012280e0
7.583026667e-1	1.756795650e0	9.617902594e0	-3.697694394e0	1.045290989e1
7.682836667e-1	2.619297674e0	1.067575512e1	-4.094376521e0	1.173014863e1
7.782646667e-1	3.817373742e0	1.140001698e1	-3.987903109e0	1.266633730e1
7.882456667e-1	5.155588274e0	1.174767137e1	-3.130264507e0	1.320554539e1
7.982266667e-1	6.310894006e0	1.181664513e1	-1.893976592e0	1.352950970e1
8.082076667e-1	6.734069867e0	1.176931075e1	-6.284653164e-1	1.357421604e1
8.181876667e-1	6.385181712e0	1.169289466e1	4.986018728e-1	1.333202666e1
8.281686667e-1	5.360463016e0	1.146707051e1	1.080978266e0	1.270420339e1
8.381496667e-1	3.890199351e0	1.130637382e1	1.070648575e0	1.200475024e1
8.481306667e-1	2.533849972e0	1.116163769e1	6.784916085e-1	1.146572730e1
8.581116667e-1	1.508278753e0	1.088044041e1	6.436848879e-2	1.098467258e1
8.680926667e-1	8.662721618e-1	1.069534563e1	-4.831023659e-1	1.074123985e1
8.780736667e-1	5.266326937e-1	1.074935519e1	-8.208895822e-1	1.079350910e1
8.880536667e-1	4.129569742e-1	1.076842998e1	-9.305475336e-1	1.081644750e1
8.980346667e-1	2.769406517e-1	1.074628891e1	-1.047255181e0	1.080074835e1
9.080156667e-1	2.143229654e-1	1.079251934e1	-1.313958527e0	1.087432274e1
9.179966667e-1	2.622669178e-1	1.078618096e1	-1.563550874e0	1.090207205e1
9.279776667e-1	3.411569667e-1	1.057805750e1	-1.712402274e0	1.072119444e1
9.379586667e-1	3.659880450e-1	1.046263698e1	-2.064403486e0	1.067063641e1
9.479396667e-1	3.942417911e-1	1.037395459e1	-2.430985170e0	1.066227224e1
9.579206667e-1	3.784883688e-1	1.015183290e1	-2.784866263e0	1.053368145e1
9.679006667e-1	3.895809755e-1	1.007834042e1	-3.206418352e0	1.058328104e1
9.778816667e-1	4.217339373e-1	1.009087568e1	-3.396140034e0	1.065539294e1
9.878626667e-1	5.844454305e-1	1.014179207e1	-3.425686600e0	1.072067402e1
9.978436667e-1	7.880722305e-1	1.024231740e1	-3.193612949e0	1.075756883e1
1.007824667e0	9.954109892e-1	1.036800447e1	-2.838639597e0	1.079556550e1
1.017805667e0	1.236378985e0	1.038566072e1	-2.546259226e0	1.076447944e1
1.027786667e0	1.439265820e0	1.006533738e1	-2.114612942e0	1.038528240e1
1.037766667e0	1.564921754e0	8.919681310e0	-1.319612785e0	9.151561215e0
1.047747667e0	1.170391403e0	6.689556184e0	-3.856817597e-1	6.802112054e0
1.057728667e0	5.680232330e-1	4.325976546e0	-1.868819824e-1	4.367109839e0
1.067709667e0	-2.094111581e-1	1.993965442e0	-2.576107800e-1	2.021413993e0
1.077690667e0	-7.719836167e-1	-1.040724279e0	-2.635340095e-2	1.296055644e0
1.087671667e0	-1.521704837e0	-4.278731044e0	4.597569188e-1	4.564482597e0
1.097652667e0	-2.404863611e0	-7.568942919e0	1.416617215e0	8.067159986e0
1.107632667e0	-3.109185002e0	-1.162746665e1	3.491323934e0	1.253213290e1
1.117613667e0	-3.314958169e0	-1.656606475e1	6.038526024e0	1.794121639e1
1.127594667e0	-3.334500149e0	-2.087322905e1	7.613181784e0	2.246711195e1
1.137575667e0	-4.185204245e0	-2.391116632e1	8.233843260e0	2.563310329e1
1.147556667e0	-5.809232140e0	-2.640052249e1	8.617241682e0	2.837237424e1
1.157537667e0	-7.593023508e0	-2.848339426e1	8.886530521e0	3.078844230e1
1.167518667e0	-8.725955454e0	-2.953154976e1	8.665298193e0	3.198971902e1
1.177499667e0	-9.011608896e0	-2.930623549e1	7.445158533e0	3.155146461e1
1.187479667e0	-8.409219968e0	-2.906522028e1	6.200854086e0	3.088612313e1
1.197460667e0	-6.541250914e0	-2.689331413e1	4.771537010e0	2.808568806e1
1.207441667e0	-4.525086519e0	-2.292890893e1	3.907041379e0	2.369548998e1
1.217422667e0	-3.424555456e0	-1.953887690e1	4.199775214e0	2.027642479e1
