"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
9.686750003e-3	-1.473438410e-1	6.454875845e-1	1.933621591e0	2.043833870e0
1.966775000e-2	-2.413851951e-1	4.671475071e-1	1.676549925e0	1.757075199e0
2.964875000e-2	-4.487330901e-1	2.690140200e-1	1.212406132e0	1.320476641e0
3.962975000e-2	-5.839351147e-1	9.431734264e-2	7.544831926e-1	9.587079155e-1
4.961075000e-2	-5.626266915e-1	4.373366475e-2	4.344007605e-1	7.121554943e-1
5.959075000e-2	-3.652142391e-1	1.241644549e-1	3.068022358e-1	4.928751001e-1
6.957175000e-2	-1.287108113e-1	2.061237073e-1	3.160729963e-1	3.986923559e-1
7.955275000e-2	6.558171295e-2	1.910267812e-1	3.232527924e-1	3.811621177e-1
8.953375000e-2	1.426262344e-1	8.876482666e-2	1.741856307e-1	2.419960147e-1
9.951475000e-2	1.284298526e-1	1.602838755e-2	-8.586519241e-2	1.553189219e-1
1.094957500e-1	5.616857283e-2	-7.090567589e-2	-2.075901890e-1	2.264425093e-1
1.194767500e-1	2.250549451e-2	-2.530008352e-1	-2.644122612e-1	3.666466470e-1
1.294577500e-1	-2.812050261e-2	-3.870652109e-1	-3.240024054e-1	5.055569195e-1
1.394387500e-1	-1.630998945e-1	-4.051927489e-1	-2.561752886e-1	5.063679668e-1
1.494197500e-1	-3.000358379e-1	-5.850589496e-1	-1.531175280e-1	6.751003302e-1
1.594007500e-1	-3.755394718e-1	-7.823527765e-1	-1.095715588e-1	8.747066299e-1
1.693817500e-1	-3.868745917e-1	-8.723998976e-1	-2.041374081e-1	9.759229541e-1
1.793627500e-1	-2.256800124e-1	-7.615203166e-1	-2.615237367e-1	8.362053130e-1
1.893437500e-1	-5.383246399e-2	-5.487097335e-1	-1.868577164e-1	5.821478438e-1
1.993248750e-1	1.055492592e-1	-4.217345220e-1	-8.690541208e-2	4.433432122e-1
2.093058750e-1	2.310747997e-1	-3.890251976e-1	-8.903847635e-2	4.611550908e-1
2.192868750e-1	1.749605329e-1	-4.829858601e-1	-2.323712736e-1	5.638110836e-1
2.292678750e-1	1.023233503e-2	-5.890853423e-1	-4.772491568e-1	7.582169867e-1
2.392488750e-1	-2.192812581e-1	-6.471943867e-1	-6.832208365e-1	9.662999306e-1
2.492298750e-1	-4.208740311e-1	-7.330923235e-1	-6.925518233e-1	1.092788787e0
2.592108750e-1	-4.928868042e-1	-8.523632437e-1	-6.565557790e-1	1.183438208e0
2.691918750e-1	-5.217869599e-1	-8.611352366e-1	-6.839072996e-1	1.217187217e0
2.791728750e-1	-4.410633704e-1	-7.821925628e-1	-6.759860766e-1	1.123974767e0
2.891538750e-1	-2.625250724e-1	-7.005180699e-1	-5.404055178e-1	9.228667854e-1
2.991348750e-1	-1.045200031e-1	-6.519189370e-1	-3.838749701e-1	7.637294836e-1
3.091158750e-1	2.669502452e-2	-6.228804946e-1	-2.306650561e-1	6.647549195e-1
3.190968750e-1	1.022634163e-1	-6.088693964e-1	-1.426276231e-1	6.336579417e-1
3.290778750e-1	7.198974967e-2	-6.030438155e-1	-9.885068893e-2	6.153176628e-1
3.390588750e-1	3.189729229e-3	-5.316908276e-1	-1.176284373e-2	5.318304946e-1
3.490398750e-1	1.909605615e-2	-3.525923663e-1	1.287755692e-1	3.758579298e-1
3.590208750e-1	-2.215305358e-2	-1.816279668e-1	1.291018438e-1	2.239347275e-1
3.690018750e-1	-1.246300395e-1	1.857449913e-1	2.046700895e-1	3.031892051e-1
3.789828750e-1	-1.837190773e-1	7.313416672e-1	5.072494662e-1	9.087988526e-1
3.889628750e-1	-1.883369158e-1	1.232123528e0	9.610834479e-1	1.573937920e0
3.989438750e-1	-1.115903831e-1	1.749644213e0	1.554178811e0	2.342899712e0
4.089248750e-1	-1.479631343e-1	2.349774946e0	2.056874465e0	3.126350580e0
4.189058750e-1	-2.483432356e-1	2.903148419e0	2.285259107e0	3.703019618e0
4.288868750e-1	-2.330518164e-1	3.338778264e0	2.274547008e0	4.046642749e0
4.388678750e-1	-1.189192101e-1	3.617001649e0	2.161585819e0	4.215364273e0
4.488488750e-1	-1.655221767e-1	3.713652030e0	2.290864833e0	4.366539897e0
4.588298750e-1	-3.130477931e-1	3.642641689e0	2.766079159e0	4.584542650e0
4.688108750e-1	-5.200107220e-1	3.451738869e0	3.450923767e0	4.908542270e0
4.787918750e-1	-7.842067824e-1	3.175371391e0	3.992710397e0	5.161366104e0
4.887728750e-1	-8.921795663e-1	2.938452737e0	3.993124380e0	5.037413144e0
4.987538750e-1	-8.170149247e-1	2.918664005e0	3.493337715e0	4.624880686e0
5.087348750e-1	-6.046154740e-1	3.131645912e0	2.938221772e0	4.336578510e0
5.187158750e-1	-2.857791567e-1	3.412225724e0	2.749667194e0	4.391540026e0
5.286968750e-1	-9.003813095e-2	3.484020177e0	2.823499986e0	4.485382440e0
5.386778750e-1	-1.898608464e-1	3.234729985e0	2.935861251e0	4.372505747e0
5.486588750e-1	-5.103776535e-1	2.819626790e0	2.911487133e0	4.085038300e0
5.586398750e-1	-9.681915426e-1	2.145764422e0	2.649504390e0	3.544230993e0
5.686208750e-1	-1.554308473e0	1.309439507e0	2.254201621e0	3.035116406e0
5.786018750e-1	-2.086982802e0	7.428086418e-1	2.005652272e0	2.988294318e0
5.885828750e-1	-2.076213693e0	2.949703950e-1	1.764773884e0	2.740820624e0
5.985638750e-1	-1.431467097e0	-7.983203530e-2	1.218300710e0	1.881416441e0
6.085448750e-1	-4.525983189e-1	-1.984708714e-1	1.332346559e-1	5.118470461e-1
6.185258750e-1	4.992609271e-1	-1.477532923e-1	-1.430660473e0	1.522459161e0
6.285068750e-1	1.448874696e0	-5.375813127e-2	-3.038065903e0	3.366299490e0
6.384878750e-1	2.203013341e0	-1.019286633e-2	-4.214808113e0	4.755836320e0
6.484688750e-1	2.395513913e0	-2.611711496e-1	-4.534880605e0	5.135351923e0
6.584498750e-1	2.094674960e0	-8.981399256e-1	-3.875912849e0	4.496333943e0
6.684308750e-1	1.450934378e0	-1.587802055e0	-2.319957070e0	3.163625569e0
6.784118750e-1	6.582107603e-1	-2.391838061e0	-4.332564604e-1	2.518301387e0
6.883928750e-1	-1.137803847e-1	-3.225284978e0	1.113465396e0	3.413973396e0
6.983738750e-1	-7.908290465e-1	-3.930236406e0	1.761986516e0	4.379128369e0
7.083548750e-1	-1.185743267e0	-4.446064907e0	1.313302762e0	4.785211009e0
7.183348750e-1	-1.219614507e0	-4.687550236e0	9.390511394e-2	4.844523189e0
7.283158750e-1	-8.492582260e-1	-4.775190643e0	-1.570480263e0	5.098048006e0
7.382968750e-1	-2.957805267e-1	-4.716003957e0	-3.251021497e0	5.735618556e0
7.482778750e-1	1.518839116e-1	-4.640613467e0	-4.611227115e0	6.543835081e0
7.582588750e-1	5.245176462e-1	-4.668992928e0	-5.488610010e0	7.224918931e0
7.682398750e-1	7.599846916e-1	-4.690522960e0	-5.881422449e0	7.561065559e0
7.782208750e-1	8.233637584e-1	-4.838574461e0	-5.990713341e0	7.744570810e0
7.882018750e-1	8.262449739e-1	-5.032588584e0	-5.987662264e0	7.865222693e0
7.981828750e-1	8.015072317e-1	-5.076567832e0	-5.797348843e0	7.747464644e0
8.081638750e-1	1.062724574e0	-5.622773203e0	-5.513659481e0	7.946408176e0
8.181448750e-1	6.843573891e-1	-5.476364186e0	-5.124067104e0	7.530934432e0
8.281258750e-1	7.191625748e-1	-5.520383195e0	-4.496399494e0	7.156076707e0
8.381068750e-1	8.513891707e-1	-5.545699300e0	-3.890961828e0	6.827827487e0
8.480878750e-1	6.395972456e-1	-5.460767908e0	-3.614655746e0	6.579878945e0
8.580688750e-1	2.893689451e-1	-5.311258112e0	-3.700201680e0	6.479559367e0
8.680498750e-1	-1.080066977e-1	-4.911400362e0	-3.903234549e0	6.274452877e0
8.780308750e-1	-4.467238041e-1	-4.360210825e0	-3.871916277e0	5.848310547e0
8.880118750e-1	-8.840981296e-1	-3.742975232e0	-3.552583458e0	5.235679738e0
8.979928750e-1	-1.292842770e0	-2.977220947e0	-3.129084247e0	4.508487021e0
9.079738750e-1	-1.562623944e0	-1.977720122e0	-2.549748552e0	3.585301682e0
9.179548750e-1	-1.643562273e0	-8.187984717e-1	-1.617223490e0	2.446863236e0
9.279358750e-1	-1.611136538e0	5.033055192e-1	-3.339719081e-1	1.720643666e0
9.379168750e-1	-1.178357503e0	1.897673494e0	1.105763444e0	2.492469436e0
9.478978750e-1	-1.111273933e-1	3.280205535e0	2.518718548e0	4.137153704e0
9.578788750e-1	1.202876194e0	4.713086196e0	3.864856349e0	6.212665067e0
9.678598750e-1	2.377568078e0	6.039672078e0	4.936777278e0	8.154890475e0
