"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
-2.278333333e-3	1.198445320e-1	7.994278157e-1	1.383530161e-1	8.201152976e-1
7.702666662e-3	6.895153642e-2	7.360223633e-1	3.506446588e-1	8.181900210e-1
1.768370833e-2	8.639144182e-2	6.693445167e-1	4.772541270e-1	8.265936517e-1
2.766470833e-2	2.401685357e-1	6.676543790e-1	5.719989011e-1	9.113868762e-1
3.764570833e-2	4.973840439e-1	6.424148726e-1	6.335423076e-1	1.030273561e0
4.762670833e-2	7.569928175e-1	5.781422782e-1	6.480311233e-1	1.152055101e0
5.760770833e-2	9.434342122e-1	4.802382535e-1	6.202971947e-1	1.226974125e0
6.758870833e-2	1.064460467e0	3.984909627e-1	6.164549893e-1	1.293015037e0
7.757070833e-2	1.087033058e0	3.310614565e-1	5.568856028e-1	1.265450169e0
8.755170833e-2	1.124031315e0	2.275739256e-1	4.637011582e-1	1.237034782e0
9.753270833e-2	1.209034628e0	9.973654211e-2	3.942809674e-1	1.275605578e0
1.075137083e-1	1.259203738e0	4.303229123e-2	3.608193988e-1	1.310586308e0
1.174947083e-1	1.281433682e0	7.702536037e-3	3.561451346e-1	1.330026680e0
1.274757083e-1	1.226846416e0	-7.774662584e-2	4.551268011e-1	1.310853566e0
1.374567083e-1	1.137496283e0	-1.841554257e-1	6.428004965e-1	1.319470914e0
1.474377083e-1	1.014518228e0	-3.228896803e-1	7.676604778e-1	1.312557652e0
1.574187083e-1	9.308059806e-1	-3.984371683e-1	8.040430230e-1	1.292918069e0
1.673997083e-1	9.381535918e-1	-3.292353711e-1	6.903632104e-1	1.210425319e0
1.773807083e-1	9.494890040e-1	-1.014059222e-1	4.582784504e-1	1.059165553e0
1.873617083e-1	8.447109926e-1	2.014430112e-1	2.273771667e-1	8.976727264e-1
1.973437083e-1	6.479820067e-1	5.597001600e-1	9.405948043e-2	8.613896540e-1
2.073247083e-1	3.486402333e-1	8.112792447e-1	1.263937059e-1	8.920198395e-1
2.173057083e-1	-1.524486065e-1	8.812534592e-1	2.556414378e-1	9.301616965e-1
2.272867083e-1	-7.087398398e-1	7.536926490e-1	4.351369250e-1	1.122367548e0
2.372677083e-1	-1.119562288e0	5.146985266e-1	5.400558543e-1	1.345360404e0
2.472487083e-1	-1.160375268e0	2.636957032e-1	5.386735725e-1	1.306206494e0
2.572297083e-1	-8.138283384e-1	1.520980476e-1	4.398500732e-1	9.375065159e-1
2.672107083e-1	-2.972069550e-1	1.602812259e-1	3.141285047e-1	4.611927611e-1
2.771917083e-1	1.171407795e-1	2.444919670e-1	2.517752588e-1	3.699852228e-1
2.871727083e-1	2.590246367e-1	3.940520489e-1	2.855926305e-1	5.513020318e-1
2.971537083e-1	1.119157076e-3	4.912269258e-1	4.309199131e-1	6.534501639e-1
3.071347083e-1	-5.469485521e-1	5.165064856e-1	5.948477733e-1	9.590492906e-1
3.171167083e-1	-1.177760210e0	5.455689016e-1	6.986963698e-1	1.474089942e0
3.270977083e-1	-1.697685855e0	5.926252466e-1	7.772727156e-1	1.958952480e0
3.370787083e-1	-2.106073523e0	5.601062492e-1	8.105386949e-1	2.325131753e0
3.470597083e-1	-2.304723904e0	5.222104080e-1	7.386474708e-1	2.475895003e0
3.570407083e-1	-2.057510642e0	6.328590605e-1	5.182673746e-1	2.214150335e0
3.670217083e-1	-1.539246776e0	8.374548903e-1	2.279215425e-1	1.767076558e0
3.770027083e-1	-9.241892713e-1	9.038064623e-1	-8.338421881e-3	1.292695424e0
3.869837083e-1	-3.113659877e-1	8.508064225e-1	-1.761742687e-1	9.229613859e-1
3.969647083e-1	1.618614542e-1	8.359135643e-1	-2.468507338e-1	8.865020598e-1
4.069457083e-1	4.257924896e-1	8.583838293e-1	-2.593152434e-1	9.926562537e-1
4.169267083e-1	4.910684663e-1	9.312702495e-1	-2.661728579e-1	1.085937616e0
4.269087083e-1	3.974393409e-1	1.014710309e0	-2.239390039e-1	1.112539311e0
4.368897083e-1	1.148211890e-1	1.014001042e0	-1.000961459e-1	1.025378592e0
4.468707083e-1	-2.199979806e-1	9.890629596e-1	-1.763520241e-3	1.013236280e0
4.568517083e-1	-4.219917995e-1	1.009375310e0	6.539350569e-2	1.095989008e0
4.668327083e-1	-5.136790645e-1	1.003684507e0	1.094283020e-1	1.132794476e0
