"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
-5.663749980e-4	3.506534296e-1	2.361555916e-1	-2.284480843e0	2.323269251e0
9.414624998e-3	4.520751393e-1	5.322556686e-1	-1.976658268e0	2.096388785e0
1.939562500e-2	5.032140103e-1	7.038539064e-1	-1.607479105e0	1.825547516e0
2.937762500e-2	4.401045732e-1	7.784789962e-1	-1.295887122e0	1.574498338e0
3.935862500e-2	2.872292662e-1	8.861601502e-1	-1.051894215e0	1.405084305e0
4.933962500e-2	2.143460619e-1	9.393025696e-1	-8.446900888e-1	1.281302032e0
5.932162500e-2	3.184975442e-1	8.880686814e-1	-6.874618220e-1	1.167351886e0
6.930262500e-2	4.620832336e-1	7.541674429e-1	-5.817577578e-1	1.058646086e0
7.928362500e-2	5.309964707e-1	5.841093618e-1	-6.153188753e-1	1.000878772e0
8.926562500e-2	5.916149940e-1	3.840012699e-1	-7.020390037e-1	9.951502596e-1
9.924662500e-2	5.769257650e-1	1.964366251e-1	-8.008587755e-1	1.006382365e0
1.092276250e-1	4.474149084e-1	9.996282935e-2	-9.518121028e-1	1.056465308e0
1.192096250e-1	2.671127978e-1	6.631911993e-2	-1.172820482e0	1.204680603e0
1.291906250e-1	7.248573974e-2	1.787552297e-2	-1.411744146e0	1.413716821e0
1.391716250e-1	-6.994600162e-2	-3.710584581e-2	-1.629561261e0	1.631483739e0
1.491536250e-1	-9.381418973e-2	-1.038980055e-1	-1.765525982e0	1.771066879e0
1.591346250e-1	6.814213559e-2	-1.621076220e-1	-1.768536129e0	1.777256951e0
1.691156250e-1	2.634752449e-1	-1.555797905e-1	-1.648813072e0	1.676964169e0
1.790976250e-1	3.891490124e-1	-9.597912133e-2	-1.496971553e0	1.549700867e0
1.890786250e-1	3.963003033e-1	-9.884951949e-2	-1.357692630e0	1.417799152e0
1.990596250e-1	5.005577664e-1	-1.503401005e-1	-1.316042329e0	1.416025294e0
2.090416250e-1	6.542782885e-1	-1.703428406e-1	-1.232855307e0	1.406068622e0
2.190226250e-1	5.358638392e-1	-9.700121462e-2	-1.077004644e0	1.206854711e0
2.290036250e-1	2.409251654e-1	-9.076808274e-2	-9.148775804e-1	9.504129457e-1
2.389856250e-1	-1.588293806e-2	-1.082723075e-1	-8.384159533e-1	8.455273331e-1
2.489666250e-1	-3.148939052e-1	-3.054000735e-2	-8.653294444e-1	9.213500480e-1
2.589476250e-1	-6.214797941e-1	6.761369348e-2	-9.633159149e-1	1.148384212e0
2.689296250e-1	-8.100605388e-1	1.142019689e-1	-1.030038346e0	1.315377954e0
2.789106250e-1	-9.704289065e-1	1.334264445e-1	-8.917565934e-1	1.324675319e0
2.888916250e-1	-9.882731469e-1	1.986626601e-1	-6.638169245e-1	1.206981182e0
2.988736250e-1	-8.119323787e-1	1.097767961e-1	-3.812641883e-1	9.036855171e-1
3.088546250e-1	-6.391116343e-1	-2.987535435e-1	6.480220601e-2	7.084607871e-1
3.188356250e-1	-5.581298903e-1	-9.714452988e-1	5.077651906e-1	1.230057085e0
3.288176250e-1	-5.000505204e-1	-1.810166988e0	6.851368960e-1	1.999041674e0
3.387986250e-1	-3.999979363e-1	-2.619901106e0	6.119042476e-1	2.719982898e0
3.487796250e-1	-2.137505230e-1	-2.988861583e0	2.014576292e-1	3.003259567e0
3.587616250e-1	5.870911494e-2	-2.625523789e0	-6.559802668e-1	2.706867569e0
3.687426250e-1	2.611378205e-1	-1.906389354e0	-1.768460553e0	2.613420375e0
3.787236250e-1	2.933744705e-1	-1.019288387e0	-2.703536171e0	2.904156542e0
3.887056250e-1	3.499415311e-1	-2.636977315e-1	-3.177783952e0	3.207850747e0
3.986866250e-1	4.287626559e-1	1.632747263e-1	-3.216936908e0	3.249489055e0
4.086676250e-1	3.629795064e-1	2.785672009e-1	-2.778428478e0	2.815851313e0
4.186496250e-1	9.092690773e-2	1.442665976e-1	-1.974745059e0	1.982094499e0
4.286306250e-1	-1.269468525e-1	-1.495951653e-2	-1.057937897e0	1.065632153e0
4.386116250e-1	-1.230206665e-1	-1.144773728e-1	-2.206307224e-1	2.773392668e-1
4.485936250e-1	-1.180964338e-1	-3.261606127e-1	4.725292113e-1	5.861837327e-1
4.585746250e-1	-1.986316699e-1	-5.015688962e-1	8.777641332e-1	1.030289169e0
4.685556250e-1	-2.917891442e-1	-5.306190330e-1	9.911194253e-1	1.161471127e0
4.785377917e-1	-2.197072278e-1	-5.769962239e-1	1.058880396e0	1.225733903e0
4.885187917e-1	-2.212783746e-1	-4.735127860e-1	1.010578886e0	1.137738178e0
4.984997917e-1	-4.125926927e-1	-2.523132026e-1	8.667316067e-1	9.925312894e-1
5.084817917e-1	-7.602071051e-1	4.009552717e-2	7.508210083e-1	1.069230883e0
5.184627917e-1	-1.108995711e0	3.970048928e-1	6.363478017e-1	1.338813989e0
5.284437917e-1	-1.337003573e0	7.368918443e-1	5.724757415e-1	1.630434488e0
5.384257917e-1	-1.285662974e0	1.001449701e0	6.999152219e-1	1.773615546e0
5.484067917e-1	-9.482238127e-1	1.072541903e0	9.624516964e-1	1.725047188e0
5.583877917e-1	-5.914403084e-1	1.018417736e0	1.237808191e0	1.708550685e0
5.683697917e-1	-3.225475451e-1	8.674040365e-1	1.432784182e0	1.705666202e0
5.783507917e-1	-1.346292168e-1	7.370883107e-1	1.485921339e0	1.664147358e0
5.883317917e-1	-1.497506281e-1	7.267019016e-1	1.427867843e0	1.609138739e0
5.983137917e-1	-3.524675283e-1	7.652648735e-1	1.284710462e0	1.536341322e0
6.082947917e-1	-5.343790850e-1	7.319889539e-1	1.049065332e0	1.386328571e0
6.182757917e-1	-6.190476447e-1	6.178881419e-1	8.338456964e-1	1.208430547e0
6.282577917e-1	-5.858489084e-1	5.079289126e-1	6.350672615e-1	1.002258026e0
6.382387917e-1	-4.472864158e-1	5.207810926e-1	4.552110010e-1	8.237081642e-1
6.482197917e-1	-3.039096183e-1	5.876276314e-1	3.707765858e-1	7.583815437e-1
6.582017917e-1	-2.358682010e-1	6.131425416e-1	4.061955098e-1	7.723809791e-1
6.681827917e-1	-2.789415689e-1	6.354683805e-1	5.267733192e-1	8.712741195e-1
6.781637917e-1	-3.131619599e-1	6.762620652e-1	6.681133854e-1	1.000887751e0
6.881457917e-1	-3.172558880e-1	6.986159706e-1	7.995845211e-1	1.108174616e0
6.981267917e-1	-2.839169647e-1	7.281455791e-1	8.946965003e-1	1.187975865e0
7.081077917e-1	-1.763397449e-1	8.386141008e-1	9.727398723e-1	1.296376556e0
7.180897917e-1	-5.331125781e-2	9.229923463e-1	1.065103076e0	1.410390557e0
7.280707917e-1	-4.645028114e-3	9.699618602e-1	1.131204094e0	1.490124253e0
7.380517917e-1	-7.055542767e-3	9.187659788e-1	1.173695226e0	1.490550632e0
7.480337917e-1	-7.807801679e-2	8.215677130e-1	1.192046712e0	1.449843111e0
7.580147917e-1	-1.875592361e-1	7.397891396e-1	1.137244853e0	1.369595668e0
7.679957917e-1	-3.229868902e-1	6.295872509e-1	1.006161388e0	1.230065598e0
7.779777917e-1	-4.446765111e-1	4.150546628e-1	8.885528308e-1	1.076816468e0
7.879587917e-1	-5.979165383e-1	1.827272433e-1	7.542604136e-1	9.796949545e-1
7.979397917e-1	-7.834701794e-1	-3.046750188e-2	6.252363378e-1	1.002833121e0
8.079217917e-1	-1.014592926e0	-2.566068131e-1	5.295256037e-1	1.172878181e0
8.179027917e-1	-1.207792679e0	-4.193102664e-1	4.203831939e-1	1.345847794e0
8.278837917e-1	-1.325932602e0	-4.948077607e-1	3.426176012e-1	1.456131452e0
8.378657917e-1	-1.351058526e0	-5.616513759e-1	3.581676865e-1	1.506351718e0
8.478467917e-1	-1.285195927e0	-6.511500281e-1	3.962049937e-1	1.494223319e0
8.578277917e-1	-1.181079674e0	-6.745207644e-1	3.587869066e-1	1.406646901e0
8.678097917e-1	-1.093151584e0	-6.306023276e-1	2.765358782e-1	1.291941088e0
8.777907917e-1	-1.033414236e0	-5.692901784e-1	1.856759759e-1	1.194366719e0
8.877717917e-1	-8.899767740e-1	-6.672801572e-1	1.323470120e-1	1.120195161e0
8.977537917e-1	-6.883769113e-1	-9.485668981e-1	1.923464978e-1	1.187703291e0
9.077347917e-1	-4.951052378e-1	-1.390672535e0	3.710636840e-1	1.522099718e0
9.177157917e-1	-3.360478158e-1	-1.902368224e0	4.878243945e-1	1.992462204e0
9.276977917e-1	-2.593672836e-1	-2.232040089e0	4.259123576e-1	2.287067049e0
9.376787917e-1	-3.360327592e-1	-2.241385109e0	1.580794752e-1	2.271940656e0
9.476597917e-1	-5.581496246e-1	-1.862345202e0	-2.697262474e-1	1.962807404e0
9.576417917e-1	-7.309730002e-1	-1.270397063e0	-7.548088825e-1	1.648625692e0
9.676227917e-1	-7.817620616e-1	-5.652930218e-1	-1.248698630e0	1.577959566e0
9.776037917e-1	-7.051340081e-1	9.868404329e-2	-1.636242144e0	1.784444132e0
9.875857917e-1	-4.635444528e-1	6.547671157e-1	-1.803934587e0	1.974277952e0
9.975667917e-1	-1.793779582e-2	9.164750397e-1	-1.653227136e0	1.890346059e0
1.007547792e0	4.846641572e-1	7.813768762e-1	-1.178444334e0	1.494717437e0
1.017529792e0	8.998878045e-1	5.492634648e-1	-5.361084356e-1	1.182751313e0
1.027510792e0	1.111429688e0	4.356538188e-1	7.246746719e-2	1.195960591e0
1.037491792e0	1.147798931e0	3.861536300e-1	5.450529214e-1	1.328020971e0
1.047473792e0	1.126611399e0	3.712104857e-1	8.167881989e-1	1.440206037e0
1.057454792e0	1.077250958e0	2.936436617e-1	9.439452589e-1	1.462097425e0
1.067435792e0	1.037069039e0	8.452734947e-2	9.046479497e-1	1.378783876e0
1.077417792e0	9.898668055e-1	-2.845430553e-1	6.097407047e-1	1.196906333e0
1.087398792e0	9.419884881e-1	-5.240964639e-1	-2.001209557e-2	1.078155786e0
1.097379792e0	9.616740167e-1	-5.822797680e-1	-7.559613687e-1	1.354748771e0
1.107361792e0	1.048156821e0	-6.051131451e-1	-1.271953592e0	1.755750717e0
1.117342792e0	1.113606899e0	-4.881951445e-1	-1.811241268e0	2.181524640e0
1.127323792e0	1.156414072e0	-3.109274465e-1	-2.204089375e0	2.508381821e0
1.137305792e0	1.139877415e0	-7.006835461e-2	-2.351147872e0	2.613833662e0
1.147286792e0	1.060825106e0	1.454798949e-1	-2.201743326e0	2.448303082e0
1.157267792e0	1.023496189e0	3.509481293e-1	-1.898906672e0	2.185533250e0
1.167249792e0	1.108428897e0	5.563210541e-1	-1.470832745e0	1.923917020e0
