"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.129166675e-5	-4.236905618e-1	2.132947326e-1	-1.184078127e0	1.275558444e0
1.003329166e-2	-5.989342462e-1	1.537893730e-1	-1.323661104e0	1.460976428e0
2.001429167e-2	-6.874118283e-1	1.144352728e-1	-1.277168723e0	1.454919380e0
2.999529166e-2	-6.184143913e-1	7.334981203e-2	-1.150463068e0	1.308197931e0
3.997729166e-2	-4.368706244e-1	1.624040759e-1	-9.078767091e-1	1.020524936e0
4.995829167e-2	-1.930632202e-1	2.010377991e-1	-6.982575363e-1	7.518332200e-1
5.994029166e-2	-6.912782997e-2	1.949373990e-1	-6.481018746e-1	6.803052890e-1
6.992129167e-2	-1.220104869e-1	2.849529451e-1	-7.685714740e-1	8.287260406e-1
7.990329166e-2	-3.306153139e-1	4.721989167e-1	-8.881177980e-1	1.058787762e0
8.988429166e-2	-5.364871524e-1	6.074964702e-1	-1.111835192e0	1.375880780e0
9.986629166e-2	-4.338296337e-1	6.525726557e-1	-1.219270763e0	1.449372422e0
1.098472917e-1	-5.378290884e-1	6.816379952e-1	-8.393993819e-1	1.207676201e0
1.198282917e-1	-7.158034225e-1	6.752925968e-1	-3.952893198e-1	1.060494355e0
1.298102917e-1	-7.457671867e-1	6.594004494e-1	-5.280912817e-2	9.968783544e-1
1.397912917e-1	-7.561439480e-1	6.607394618e-1	1.646494067e-1	1.017565592e0
1.497732917e-1	-8.831450334e-1	8.668684316e-1	2.252891260e-1	1.257839902e0
1.597542917e-1	-1.072878264e0	1.086285784e0	9.124053776e-2	1.529512801e0
1.697362917e-1	-1.044293420e0	1.089286575e0	-2.986097020e-1	1.538265823e0
1.797172917e-1	-1.048539375e0	1.065077932e0	-5.921305722e-1	1.607620738e0
1.896992917e-1	-9.873025091e-1	1.134202546e0	-6.296135634e-1	1.630213146e0
1.996802917e-1	-9.001225702e-1	1.262535481e0	-4.858778930e-1	1.624898092e0
2.096612917e-1	-7.881812811e-1	1.311752665e0	-2.629054338e-1	1.552753700e0
2.196432917e-1	-6.758458896e-1	1.363823875e0	-9.980787814e-2	1.525367116e0
2.296242917e-1	-6.640368529e-1	1.297894764e0	-5.795643210e-2	1.459052675e0
2.396062917e-1	-8.338500819e-1	1.240048844e0	-8.317021072e-2	1.496644373e0
2.495872917e-1	-1.099397726e0	1.240578602e0	-1.358103544e-1	1.663176202e0
2.595692917e-1	-1.141567553e0	1.194458104e0	-2.159569699e-1	1.666296508e0
2.695502917e-1	-9.636077640e-1	1.261114023e0	-2.172363406e-1	1.601917642e0
2.795322917e-1	-8.357786398e-1	1.597984981e0	-1.681115431e-1	1.811171837e0
2.895132917e-1	-6.104514337e-1	1.843066347e0	-2.186759251e-1	1.953807481e0
2.994942917e-1	-2.941395787e-1	1.838003243e0	-4.279243845e-1	1.909945887e0
3.094762917e-1	-1.208457215e-1	1.760963838e0	-7.416982555e-1	1.914605346e0
3.194572917e-1	-8.844293743e-2	1.808463110e0	-9.495913303e-1	2.044525536e0
3.294392917e-1	-1.382793412e-1	1.830143416e0	-1.004532938e0	2.092279265e0
3.394202917e-1	-2.048422169e-1	1.769518899e0	-9.441481572e-1	2.016078672e0
3.494022917e-1	-2.364684176e-1	1.703682759e0	-7.866130579e-1	1.891351993e0
3.593832917e-1	-1.517549805e-1	1.605275874e0	-5.938233411e-1	1.718303340e0
3.693652917e-1	1.946443073e-2	1.574852226e0	-3.678091604e-1	1.617350295e0
3.793462917e-1	1.633811456e-1	1.552065042e0	-1.660924995e-1	1.569454049e0
3.893272917e-1	2.808427180e-1	1.377368365e0	-1.444449377e-1	1.413110252e0
3.993092917e-1	2.559145758e-1	1.266996907e0	-2.328016287e-1	1.313381145e0
