Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.124908812,0.9509678483,-2.390284061,-0.7820783854,2.688762605
0.143250062,1.249764204,-1.664330482,-0.08718729019,2.083148613
0.161591312,1.127093077,-0.9110183716,-0.3636214733,1.494159915
0.179932562,0.622813046,-0.848074913,-0.5827884674,1.202817337
0.198273812,0.08432722092,-1.230457306,-0.4346580505,1.307694109
0.216615062,-0.2463073134,-0.8647680283,-0.619325757,1.091812909
0.234956312,-0.2357874513,0.4446907043,-1.176698804,1.279830309
0.253297562,0.09431749582,1.881692886,-0.8297421932,2.058673363
0.271638812,0.229130432,2.287583351,0.1963841915,2.307402239
0.289980062,0.1682674885,2.10896492,1.026527643,2.351553951
0.308321312,0.3984781802,2.494680405,1.042565107,2.732975884
0.32666251,1.36978662,3.240922928,1.477746487,3.81623263
0.34500376,1.777752757,2.73517704,1.536263466,3.605787534
0.36334501,2.015940666,1.793777466,2.283103704,3.534715956
0.38168626,2.19592905,1.937381744,2.199745655,3.66257196
0.400027458,2.398466349,3.371553421,2.392271519,4.779432635
0.418368708,2.36267519,3.123682022,3.321042776,5.135070452
0.436709958,1.417874455,1.404072762,3.580753326,4.099217325
0.455038448,0.7277681231,-0.1326303482,3.274356127,3.356880292
0.473392458,1.001369238,-0.1863546371,2.758024693,2.9400967
0.491733708,2.166582108,-0.6031999588,4.262171745,4.819132308
0.510062146,2.534249544,-1.647446156,4.30741787,5.262161941
0.528416208,2.136223078,-2.945306778,2.783610582,4.581131839
0.546757406,1.647686005,-4.131896019,0.6973111629,4.50262998
0.565085896,1.018422365,-4.149729252,-1.268701553,4.457245855
0.583439854,0.8964934945,-3.580766678,-2.313573122,4.356398877
0.601781104,0.7196164131,-3.132802963,-1.544224501,3.566080691
0.620109542,1.172159433,-2.530357838,0.8218185902,2.907241703
0.638463552,1.165089846,-2.053563118,1.25512886,2.673930494
0.656804854,0.7625980973,-1.53851223,0.3651678562,1.755540744
0.675146052,0.5161935687,-1.523776054,-0.5913140774,1.714059976
0.69348725,0.2494142652,-0.5910310745,-1.124210358,1.294362443
0.7118285,0.7837501764,0.2407674789,-1.594218969,1.792698368
0.73016975,1.156451941,0.9641418457,-0.9202634096,1.764606283
0.748511,1.350938201,1.132465363,-0.05755198002,1.763752831
0.766852198,1.39033103,1.654112816,-0.2887604237,2.180021138
0.785193396,1.142755985,2.346666336,-0.411907196,2.642423447
0.803534646,1.061603665,2.318898201,-0.5261203051,2.604053337
0.821875896,1.131090999,2.075080872,-0.4904603958,2.413685744
0.840204333,1.795117021,1.225786209,1.36633265,2.567462144
0.858558344,1.641470671,0.1563434601,2.895450592,3.332041922
0.876899542,-0.2818344235,0.1587371826,1.015836954,1.066092328
0.895227979,-2.25965476,1.528333664,-2.049594402,3.412137254
0.913582042,-2.86868453,2.453817368,-1.800645471,4.182450803
0.931923239,-0.8167353868,2.627644539,2.59940052,3.785294649
0.950251677,0.834192872,2.058228493,6.474006176,6.844336216
0.968605687,0.5529197454,0.4663133621,5.51235342,5.559605078
0.986946885,-0.3147446811,-0.7604703903,1.555680156,1.759977323
1.005275323,-0.9073562622,-2.054578781,-0.5135499239,2.303979791
1.023629333,-0.142300874,-2.052469254,0.4807934761,2.112827949
1.041970583,1.726900816,-1.613239288,3.687216997,4.379531552
1.060299021,2.38536334,-1.634946823,4.825175762,5.625418253
1.078652979,1.42664969,-2.743970871,2.386793137,3.906595315
1.096994229,0.4321930408,-5.163039207,1.644881487,5.435935962
1.115322667,-0.3071088791,-2.653858662,-0.3509981632,2.694528042
1.133676625,1.069046259,-2.509679794,0.9321312904,2.882745448
1.152017875,1.2859025,-1.333025932,1.627266407,2.465461283
1.170359073,0.5921195745,-1.174463272,-0.04037809372,1.315902716
1.188700271,0.1148420647,-1.315662384,0.2304673195,1.340623509
1.207041521,-0.0007938817143,-0.5851335526,0.3001105785,0.6576079865
1.225382667,-0.03392678499,0.1986064911,0.3110663891,0.3706182179
1.243723917,0.125927195,0.5301713943,1.003880739,1.142241614
1.262065114,-0.249222517,0.6486377716,0.6313004494,0.9388200462
1.280406312,-0.1952440739,0.9670534134,1.153040171,1.517502615
1.29874751,0.5444428325,1.449982643,2.060729742,2.577881831
1.31708876,0.9301469326,1.362452507,2.128081799,2.692616254
1.335429958,1.501983047,0.8928499222,2.740690708,3.250310695
1.353771208,1.471938133,0.9929037094,2.031542778,2.69807815
1.372112354,1.283146381,1.342300415,0.7003166676,1.984610409
1.390453604,1.457578659,1.781434059,1.740730286,2.885859453
1.40879475,1.312269092,1.245606422,3.054043055,3.549755556
1.427136,0.7571724057,0.3667240143,2.622418642,2.754065375
1.445477198,0.5729957223,0.004095077515,1.586465597,1.686776203
1.463818396,1.399064422,-0.4494924545,2.991811037,3.333220365
